Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Griffin Jax","- - -",-0.7117516398429871,-8.59972596168518,7.887974262237549,3.3489999771118164,0.29849860072135925,1.7272737913943352,1.3182634232749402,1.391546454228146,1.4585138651040883,65,0.18569204211235046,-0.5977585271068505,29,14,"Griffin Jax",20253,643377
"Graham Ashcraft","CIN",0.19568169116973877,-8.045843124389648,8.241524696350098,3.051999568939209,0.2689003646373749,1.5607599020004272,1.3180583715438843,1.4959096908569336,1.356224536895752,57,0.05512207746505737,0.07025383135918484,24,14,"Graham Ashcraft",27552,668933
"Reed Garrett","NYM",0.5339641571044922,-7.020779609680176,7.554743766784668,-2.3140006065368652,-0.22444617748260498,1.822070837020874,1.3789055347442627,1.6928070783615112,1.3345346450805664,49,0.5433154106140137,-0.25026195393417605,25,13,"Reed Garrett",16866,657585
"Jeff Hoffman","TOR",-0.2920180857181549,-9.352169036865234,9.060151100158691,-5.073000431060791,-0.5244777798652649,1.8784153461456299,1.6791129112243652,1.723380208015442,2.3939833641052246,12,0.018418213352560997,-0.17387801957558538,29,13,"Jeff Hoffman",17432,656546
"Garrett Cleavinger","TBR",0.5635721683502197,-5.595176696777344,6.158749103546143,10.300999641418457,1.08368980884552,1.3482145071029663,1.2369840145111084,1.3701403141021729,1.3360586166381836,58,0.7783653736114502,-0.3603516485097825,20,13,"Garrett Cleavinger",17897,664076
"Ryan Helsley","- - -",-0.3738820552825928,-8.051363945007324,7.6774821281433105,-3.7730002403259277,-0.38120830059051514,1.8031490376954589,1.469288138009734,1.5176896555670376,1.6743455041538586,22,-0.5408375933766365,0.33348809121876816,22,13,"Ryan Helsley",18138,664854
"Keegan Akin","BAL",-0.13264670968055725,-6.969684600830078,6.837038040161133,4.521999835968018,0.4399430751800537,1.5633646249771118,1.4156566858291626,1.7712064981460571,1.275539517402649,43,-0.4207536280155182,0.3359066847232589,24,13,"Keegan Akin",19362,669211
"Calvin Faucher","MIA",1.1697860956192017,-6.493259906768799,7.663045883178711,5.754000663757324,0.5748043656349182,1.744086742401123,1.4546724557876587,1.587507724761963,1.630916714668274,36,0.663833498954773,0.006882049291830339,26,13,"Calvin Faucher",20116,676534
"Jeremiah Estrada","SDP",1.2950923442840576,-6.828549861907959,8.123641967773438,2.2049999237060547,0.29767706990242004,1.4429641962051392,1.3210680484771729,1.4423896074295044,1.4098029136657715,70,0.4277135729789734,0.4698085884786909,33,13,"Jeremiah Estrada",22210,669093
"Angel Zerpa","KCR",-0.19036585092544556,-5.585925579071045,5.395559787750244,-3.681999444961548,-0.39864999055862427,1.109117865562439,1.0488975048065186,1.1800836324691772,1.3213428258895874,63,-0.2800964415073395,0.10845927215301651,18,13,"Angel Zerpa",22717,672582
"José Buttó","- - -",0.015386469662189484,-5.423541784286499,5.4389283657073975,0.39999985694885254,0.004070945084095001,1.0892275131788831,0.986996764090003,1.4128109433434226,1.2814608721629432,46,0.1342364139854908,-0.1201103755995484,12,13,"Jose Butto",23313,676130
"Robert Garcia","TEX",-0.9284353852272034,-8.731907844543457,7.803472995758057,6.253999710083008,0.6176173090934753,1.6686999797821045,1.3450862169265747,1.4250619411468506,1.645721673965454,46,0.6079366207122803,-1.1643190720073515,22,13,"Robert Garcia",23363,676395
"Ronny Henriquez","MIA",1.235098123550415,-6.502787113189697,7.737885475158691,10.51300048828125,1.0493292808532715,1.4003950357437134,1.247018575668335,1.4922521114349365,1.1552866697311401,60,1.2069978713989258,-0.32503378838967223,32,13,"Ronny Henriquez",24094,678692
"Alex Vesia","LAD",1.2801403999328613,-5.1916656494140625,6.471806049346924,13.019000053405762,1.3172577619552612,1.5599315166473389,1.3846383094787598,1.6335235834121704,1.5748034715652466,57,1.0445547103881836,-0.22391586421358656,28,13,"Alex Vesia",25007,681911
"Ryan Zeferjahn","LAA",-0.6914437413215637,-6.473675727844238,5.782232284545898,-3.2609994411468506,-0.3468690514564514,1.3369418382644653,1.1780771017074585,1.367862343788147,1.3728926181793213,54,-0.6254609823226929,0.1082778696906932,19,13,"Ryan Zeferjahn",25420,666171
"Hunter Gaddis","CLE",2.009164333343506,-6.959783554077148,8.968948364257812,4.196000099182129,0.4056806266307831,1.6710035800933838,1.4182147979736328,1.5486301183700562,1.5130953788757324,65,0.7353905439376831,0.46697931168597995,32,13,"Hunter Gaddis",25636,683769
"Yennier Cano","BAL",-1.8812360763549805,-6.676619529724121,4.795383453369141,-9.017000198364258,-0.951452374458313,1.1647529602050781,0.9774616956710815,1.1753476858139038,1.1851036548614502,54,-0.6865831613540649,-0.9285542460011833,16,13,"Yennier Cano",25911,666974
"Jordan Leasure","CHW",-0.34225574135780334,-8.159879684448242,7.817624092102051,3.4790005683898926,0.3334236443042755,1.568669080734253,1.343364953994751,1.502340316772461,1.1342880725860596,50,-0.06005987524986267,-0.15812236953410566,24,13,"Jordan Leasure",29950,673929
"Steven Matz","- - -",-0.5212437808513641,-6.417022109031677,5.895778298377991,2.9009997844696045,0.29743915796279913,1.129407932003625,1.0415206853081198,1.3758549269507914,0.9085106608715463,47,0.4107917472720146,-0.8723112444183222,13,12,"Steven Matz",13361,571927
"Justin Topa","MIN",-1.638427734375,-5.444471836090088,3.806044101715088,-5.065000057220459,-0.51668381690979,0.9800518155097961,0.8222726583480835,1.0315207242965698,0.7409833073616028,36,-0.6642448306083679,-1.0075318126732271,12,12,"Justin Topa",15145,623437
"Tyler Rogers","- - -",0.9800083637237549,-6.38630747795105,7.366315603256226,15.646999835968018,1.5911546796560287,1.307321086525917,1.2247428922426133,1.311587667759554,1.3432735204696655,68,1.9087634980678558,-1.1591325360766933,26,12,"Tyler Rogers",15541,643511
